"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02276V02746","Domestic","C02196V04140","Region of Residence","UNIT","VALUE"
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","01","Domestic","IE052","South-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","01","Domestic","IE053","South-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","01","Domestic","IE06","Eastern and Midland","Thousand","1205"
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","01","Domestic","IE061","Dublin","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","01","Domestic","IE062","Mid-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","01","Domestic","IE063","Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","02","Outbound","-","State","Thousand","2015"
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","02","Outbound","IE04","Northern and Western","Thousand","275"
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","02","Outbound","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","02","Outbound","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","02","Outbound","IE05","Southern","Thousand","577"
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","02","Outbound","IE051","Mid-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","02","Outbound","IE052","South-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","02","Outbound","IE053","South-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","02","Outbound","IE06","Eastern and Midland","Thousand","1163"
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","02","Outbound","IE061","Dublin","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","02","Outbound","IE062","Mid-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20184","2018Q4","02","Outbound","IE063","Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","01","Domestic","-","State","Thousand","2223"
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","01","Domestic","IE04","Northern and Western","Thousand","403"
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","01","Domestic","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","01","Domestic","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","01","Domestic","IE05","Southern","Thousand","732"
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","01","Domestic","IE051","Mid-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","01","Domestic","IE052","South-East","Thousand",""
